Aircraft;Engine;Role;Registration;Seats;Cargo Capacity (t);Flight Number;Date;Take-off Time (UTC);Origin Airport;Destination Airport;Distance OD (km);Distance Flown (km);CO2 (kgCO2e);Contrails (kgCO2e)
A21N;PW1133G-JM;;EC-NYC;230.0;0.0;VY8277;30/03/2023;30/03/2023 08:17;LIRF;LFPO;1088.6659905506278;1152.199628380521;12846.45027660792;-0.0812329646360269
A320;CFM56-5B4/3;PAX;EC-MCU;180.0;0.0;VY3260;02/09/2023;02/09/2023 05:15;LEBB;GCXO;2038.4901413073524;2103.87404102341;23057.08421696861;503.5832607868492
A320;V2527-A5;PAX;EC-MFM;180.0;0.0;VY3934;20/03/2023;20/03/2023 06:03;LEAL;LEPA;318.2296639123855;393.4586055335744;6772.611509527187;0.0
A320;V2527-A5;PAX;EC-MQE;186.0;0.0;VY3185;24/01/2023;24/01/2023 12:08;LFPG;GCLP;2800.879368792008;2969.075401080628;31628.625130379834;0.0
A20N;PW1127G-JM;PAX;EC-NAJ;186.0;0.0;Unknown;03/12/2023;03/12/2023 20:07;LEAS;GCRR;1759.5845151906394;1841.508616064899;16132.329982947778;16761.494533534285
A320;CFM56-5B4/3;PAX;EC-KLB;180.0;0.0;VY8921;30/01/2023;30/01/2023 14:27;EBBR;LEVC;1326.5092592494957;1371.1746601887085;16071.718376149627;431187.1357133364
A321;V2533-A5;PAX;EC-MHS;220.0;0.0;VY8944;25/04/2023;25/04/2023 15:38;LFPO;EGKK;326.33001669691305;435.7932271821683;8224.96904932938;0.0
A321;CFM56-5B3/3;PAX;EC-NLX;220.0;0.0;VY8460;10/11/2023;10/11/2023 06:27;LEBL;LPPT;994.0003331037478;1043.6627049251176;15088.27639072284;0.0
A321;V2533-A5;PAX;EC-MMH;220.0;0.0;VY1988;03/12/2023;03/12/2023 09:10;LPPR;LFPO;1200.895727281921;1339.8159342600177;18405.193920454025;-22874.092189512507
A320;CFM56-5B4/3;PAX;EC-LVP;180.0;0.0;VY1918;18/09/2023;18/09/2023 14:28;LEAL;EKCH;2164.5401917430518;2347.5143599564685;25479.87522461376;96332.00319007871
A321;V2533-A5;PAX;EC-MLD;220.0;0.0;VY6331;15/07/2023;15/07/2023 08:29;LIMC;LEBL;720.7942696840571;816.3808119760754;12522.359056402487;0.0
A320;CFM56-5B4/3;PAX;EC-LOB;180.0;0.0;VY8828;18/01/2023;18/01/2023 16:05;LEZL;LFPG;1457.4451313122115;1563.0212675992552;17867.381145690142;106.01675915100309
A320;CFM56-5B6/P;PAX;EC-KHN;180.0;0.0;VY3941;22/01/2023;22/01/2023 08:09;LEZL;LEPA;787.5136522636876;800.5381824154454;10753.794020202726;0.0
A20N;PW1127G-JM;PAX;EC-NCS;186.0;0.0;Unknown;15/08/2023;15/08/2023 05:33;LEBL;LFRS;714.2352201762058;777.9609611953423;8564.278853553016;0.0
A20N;PW1127G-JM;PAX;EC-NDA;186.0;0.0;VY3965;20/10/2023;20/10/2023 12:20;LEVC;LEZL;524.3684614853302;544.21096791753;6878.978317547645;0.0
A320;V2527-A5;PAX;EC-MJC;186.0;0.0;VY6614;08/06/2023;08/06/2023 05:24;LEMG;EGKK;1645.2059978045324;1889.1893684165973;20927.96484661379;-29151.36240002959
A320;V2527-A5;PAX;EC-LVS;180.0;0.0;VY8246;13/03/2023;13/03/2023 19:42;LEBL;LFPG;858.7380115037018;1085.8468634826577;13412.756198176176;0.0
A321;CFM56-5B3/3;PAX;EC-NLX;220.0;0.0;VY6260;07/04/2023;07/04/2023 09:22;LEBL;LFSB;822.2368269898692;980.4233009917972;14358.137311851197;-1791.3009758530388
A320;CFM56-5B4/3;PAX;EC-MVO;180.0;0.0;VY2596;06/07/2023;06/07/2023 16:11;LEBL;LGSR;2091.252353249406;2155.459191172111;23571.00958222667;0.0
A321;CFM56-5B3/3;PAX;EC-NLX;220.0;0.0;VY8981;23/09/2023;23/09/2023 08:02;EBBR;LEBL;1083.7830166422862;1136.3232812564129;16131.332217682331;0.0
A319;CFM56-5B6/3;PAX;EC-MIR;144.0;0.0;VY2484;21/04/2023;21/04/2023 04:47;LEBL;LESO;391.8561560182081;483.55620824573305;7234.052020977781;0.0
A20N;PW1127G-JM;PAX;EC-NAJ;186.0;0.0;VY6107;04/09/2023;04/09/2023 19:37;LIRF;LEBL;847.9678302098054;946.0454342720852;9764.091837481456;0.0
A320;V2527-A5;PAX;EC-MER;180.0;0.0;VY3003;25/10/2023;25/10/2023 14:40;GCLP;LEBL;2174.4948701069866;2296.3661221647867;24965.949859355696;143718.0203339733
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;VY6615;04/02/2023;04/02/2023 09:28;EGKK;LIRF;1405.917409558029;1550.448864012278;17746.51922850953;-4677.697278590374
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY2468;19/04/2023;19/04/2023 10:37;LEBL;EDDN;1149.5622304714616;;17341.27697695534;
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY3275;30/03/2023;30/03/2023 08:07;GCXO;LEMG;1433.559265590338;1563.556934453134;17867.381145690142;0.0
A20N;PW1127G-JM;PAX;EC-NCG;186.0;0.0;VY8990;29/05/2023;29/05/2023 04:40;LEZL;EBBR;1708.8301826373074;1752.4727944109115;15499.461595820689;-1059.9847490314646
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY3048;13/12/2023;13/12/2023 20:07;LEZL;GCLP;1377.5380723845806;1488.205529080518;17176.741618943786;0.0
A321;V2533-A5;PAX;EC-MQB;220.0;0.0;VY7827;30/12/2023;30/12/2023 14:56;EGKK;LEBL;1109.0539170109523;1156.2403917970755;16339.94338307423;1370059.3333903144
A20N;PW1127G-JM;PAX;EC-NAF;186.0;0.0;Unknown;28/06/2023;28/06/2023 07:45;EGKK;LEBB;896.2343404083921;1018.1548688862588;10278.297402022214;-147.5107942487575
A320;V2527-A5;PAX;EC-LVT;180.0;0.0;VY6951;12/07/2023;12/07/2023 13:55;LEPA;LFPO;1020.2384564112792;1238.660896917908;14845.833216174851;-20878.460561776643
A20N;PW1127G-JM;PAX;EC-NAV;186.0;0.0;VY3224;23/07/2023;23/07/2023 06:24;GCXO;LEST;1753.2676773621454;1798.1586220398294;15829.080547449385;-1993.1371440347905
A320;V2527-A5;PAX;EC-MVD;186.0;0.0;VY1870;06/06/2023;06/06/2023 04:55;LEBL;EKCH;1768.57318009677;1977.99080027707;21808.97975848475;0.0
A20N;PW1127G-JM;PAX;EC-NAX;186.0;0.0;VY6574;03/08/2023;03/08/2023 15:49;GCLP;LEAS;1929.1535898886923;1986.8880886969275;17324.216013370125;0.0
A20N;PW1127G-JM;PAX;EC-NBA;186.0;0.0;VY3312;15/08/2023;15/08/2023 17:34;LEBL;EBBR;1083.7830166422862;1268.2101162191332;12058.23974081715;29856.482168884435
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY8275;23/11/2023;23/11/2023 15:29;LFPO;LIRF;1088.6659905506278;1226.507784537324;14724.971298994244;0.0
A321;V2533-A5;PAX;EC-MQB;220.0;0.0;VY8522;04/11/2023;04/11/2023 11:34;LFPO;HECA;3205.560921077867;3400.455605054821;42713.16679224378;0.0
A320;V2527-A5;PAX;EC-MNZ;186.0;0.0;VY3520;26/08/2023;26/08/2023 17:07;LEBL;LEIB;276.1540864735084;327.04630080898977;6000.057740072261;0.0
A321;V2533-A5;PAX;EC-MOO;220.0;0.0;VY3525;07/07/2023;07/07/2023 15:09;LEIB;LEBL;276.1540864735084;351.31259908323386;7286.218805065837;0.0
A320;CFM56-5B4/P;PAX;EC-KDH;180.0;0.0;VY3920;23/06/2023;23/06/2023 20:07;LEBL;LEPA;201.96688121093285;233.97743699708187;4874.336533152227;0.0
A320;CFM56-5B4/3;PAX;EC-MAN;180.0;0.0;VY3002;22/07/2023;22/07/2023 09:28;LEBL;GCLP;2174.4948701069866;2238.970189188993;24396.961062105696;0.0
A321;V2533-A5;PAX;EC-MJR;220.0;0.0;VY8460;16/03/2023;16/03/2023 06:13;LEBL;LPPT;994.0003331037478;1057.7468640764453;15234.30420649717;-92223.62267315568
A320;V2527-A5;PAX;EC-MVE;186.0;0.0;VY8222;28/04/2023;28/04/2023 11:01;LEST;LFPG;1084.945374441271;1177.1793001597473;14276.055606609114;0.0
A320;CFM56-5B6/3;PAX;EC-KLT;180.0;0.0;VY7121;24/11/2023;24/11/2023 14:15;GMMX;LEBL;1404.8216263622178;1608.8315352800023;18299.03084990661;0.0
A320;V2527-A5;PAX;EC-MKN;186.0;0.0;VY3001;01/03/2023;01/03/2023 06:58;GCLP;LEBL;2174.4948701069866;2294.130226897161;24947.595382025047;-3212.3158579306546
A319;CFM56-5B6/P;PAX;EC-MKV;144.0;0.0;Unknown;01/01/2023;01/01/2023 19:02;LEBL;LPPT;994.0003331037478;1037.772721766032;12034.7686867411;7087.230993353659
A20N;PW1127G-JM;PAX;EC-NAE;186.0;0.0;VY6404;16/03/2023;16/03/2023 13:07;LEBL;LIPZ;951.7499664555206;1041.336640549658;10436.514498803985;38703.94681421481
A319;CFM56-5B6/3;PAX;EC-MIR;144.0;0.0;VY6006;11/04/2023;11/04/2023 16:39;LIRQ;LEBL;797.5506985199976;910.412779036789;10942.96690322302;82103.73230323508
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY3916;15/02/2023;15/02/2023 19:23;LEBL;LEPA;201.96688121093285;243.57909753761535;5006.774322201643;0.0
A320;V2527-A5;PAX;EC-MKO;186.0;0.0;VY8938;15/04/2023;15/04/2023 07:23;LFPO;LEPA;1020.2384564112792;1058.8685776079376;13171.032363814951;0.0
A320;CFM56-5B4/P;PAX;EC-MYB;180.0;0.0;VY3318;25/07/2023;25/07/2023 04:46;LIRF;LGMK;1220.740567652971;1347.0737486281184;15847.260529957062;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY6015;26/02/2023;26/02/2023 10:10;LEZL;EGKK;1591.558571178804;1657.1172808410115;18747.94654229174;0.0
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY3005;13/10/2023;13/10/2023 16:26;LEBL;EHAM;1241.1362442046452;;18363.471687375648;
A321;V2533-A5;PAX;EC-MRF;220.0;0.0;VY1982;09/06/2023;09/06/2023 18:19;LPPT;LFPO;1438.111041875215;1513.0874180438748;20379.60339369465;374402.6881562712
A319;CFM56-5B6/P;PAX;EC-MKX;144.0;0.0;VY1499;26/10/2023;26/10/2023 14:43;LEMD;LIRQ;1270.9016140085378;1445.9152036382595;15583.124483174855;17210.18955976531
A20N;PW1127G-JM;PAX;EC-NEA;186.0;0.0;VY1301;31/01/2023;31/01/2023 05:48;LEBL;LEBL;0.0;449.7044120933949;6002.376987952562;0.0
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY6935;14/01/2023;14/01/2023 09:09;EKCH;LFPO;1036.6007340002982;1077.3236813165472;15463.776488428255;-96986.147386967
A319;CFM56-5B6/3;PAX;EC-MIR;144.0;0.0;VY1290;10/07/2023;10/07/2023 18:18;LEBL;LECO;887.67650292622;940.881312542589;11199.86144052139;0.0
A20N;PW1127G-JM;PAX;EC-NFI;186.0;0.0;VY3263;04/07/2023;04/07/2023 09:03;GCXO;LEBB;2038.4901413073524;;18528.454658308267;
A320;V2527-A5;PAX;EC-MDZ;180.0;0.0;VY8012;14/08/2023;14/08/2023 15:34;LEBL;LFPO;826.0961118302938;949.9509559042413;12152.339061864088;0.0
A320;CFM56-5B6/3;PAX;EC-KLT;180.0;0.0;VY1674;04/02/2023;04/02/2023 05:57;LEST;LEBL;883.2522704545041;938.5434255479212;12048.743132852132;0.0
A21N;PW1133G-JM;;EC-NYC;230.0;0.0;VY3134;30/08/2023;30/08/2023 12:14;LFPO;GCTS;2814.278267564428;2954.753018269332;29784.66684563452;135.18951985614217
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;VY8355;08/10/2023;08/10/2023 08:13;EHAM;LEBB;1152.5110471160726;1292.5301077540912;12229.641595664069;-139.46973787472564
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY8624;11/03/2023;11/03/2023 09:21;GMTT;LFPO;1595.828278647226;1628.6503195497282;21689.688622134792;-12.529674508851166
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;VY6243;17/05/2023;17/05/2023 19:29;LEBL;LEMH;241.0492606878899;271.7957796478595;4352.303896950052;0.0
A321;V2533-A5;PAX;EC-MPV;220.0;0.0;VY6944;27/11/2023;27/11/2023 12:27;LFPO;EGKK;326.33001669691305;377.0797166461618;7578.274436614494;0.0
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;Unknown;29/07/2023;29/07/2023 11:33;LEBL;LEIB;276.1540864735084;361.87579862177455;7390.524387761787;0.0
A320;CFM56-5B4/3;PAX;EC-LVU;180.0;0.0;VY8100;16/12/2023;16/12/2023 06:26;LEBL;LGAV;1904.5077318023027;1942.8175301768545;21460.244689202496;0.0
A321;V2533-A5;PAX;EC-MLM;220.0;0.0;VY8430;20/10/2023;20/10/2023 15:20;LFPO;LIMC;590.0383296647423;802.0493021369979;12355.47012408897;0.0
A20N;PW1127G-JM;PAX;EC-NDA;186.0;0.0;VY1269;03/01/2023;03/01/2023 14:30;EFHK;LEBL;2628.054923478335;2738.6100064613115;23513.088036723108;0.0
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;Unknown;25/07/2023;25/07/2023 11:49;LEBL;LEIB;276.1540864735084;357.7538977270169;5142.963919722089;0.0
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;VY6626;01/02/2023;01/02/2023 12:04;EGKK;LEAS;950.626883020877;;13050.170446634344;
A320;CFM56-5B4/3;PAX;EC-KLB;180.0;0.0;VY3002;10/11/2023;10/11/2023 11:10;LEBL;GCLP;2174.4948701069866;2322.9829251915403;25222.91254198472;0.0
A20N;PW1127G-JM;PAX;EC-NFH;186.0;0.0;VY1218;07/09/2023;07/09/2023 05:36;LEBL;LFLL;548.6324974283636;697.4544103356842;7997.334256751666;0.0
A320;CFM56-5B4/P;PAX;EC-JSY;180.0;0.0;VY1820;15/01/2023;15/01/2023 11:08;LEBL;EDDH;1492.5636767058477;1752.5579696631594;19628.511938893334;-44.63703159991514
A20N;PW1127G-JM;PAX;EC-NFK;186.0;0.0;VY7815;03/12/2023;03/12/2023 11:06;LEBL;EGPH;1676.5809356701511;;15644.493934537311;
A320;CFM56-5B4/3;PAX;EC-LLJ;180.0;0.0;VY2845;16/07/2023;16/07/2023 17:46;LEIB;LFPO;1098.2641741532054;1225.0208116257184;14707.705310825586;0.0
A321;V2533-A5;PAX;EC-MRF;220.0;0.0;VY2214;04/10/2023;04/10/2023 10:05;LEBL;LEZL;809.2782447899061;844.6518847916818;12835.275804490337;0.0
A320;V2527-A5;PAX;EC-LVT;180.0;0.0;VY2609;01/05/2023;01/05/2023 07:30;LEBB;LEMG;749.082899877611;810.4950083224984;10857.389949214676;0.0
A320;V2527-A5;PAX;EC-MFM;180.0;0.0;Unknown;02/09/2023;02/09/2023 22:45;LEIB;LEBL;276.1540864735084;301.3349573728953;5691.036232290291;0.0
A20N;PW1127G-JM;PAX;EC-NIY;186.0;0.0;VY6623;12/08/2023;12/08/2023 16:11;EGKK;LEGR;1577.864103726096;;14932.51699901934;
A320;V2527-A5;PAX;EC-MKO;186.0;0.0;VY1376;03/10/2023;03/10/2023 12:40;EHAM;LEAL;1613.152117716283;1649.204197757005;18661.616601448444;50130.47991429384
A20N;PW1127G-JM;PAX;EC-NIJ;186.0;0.0;Unknown;11/08/2023;11/08/2023 06:57;LEBL;LEIB;276.1540864735084;367.6937722392317;5246.093487909746;0.0
A20N;PW1127G-JM;PAX;EC-NAF;186.0;0.0;VY3185;23/02/2023;23/02/2023 11:59;LFPG;GCLP;2800.879368792008;2956.798963796196;25311.82424055476;-2026.9573991718948
A320;CFM56-5B6/P;PAX;EC-KDT;180.0;0.0;VY6514;24/09/2023;24/09/2023 10:11;LEBL;LIMF;625.8255121182425;771.3633257062407;10494.804197672844;0.0
A320;V2527-A5;PAX;EC-MXP;186.0;0.0;VY3934;19/03/2023;19/03/2023 06:36;LEAL;LEPA;318.2296639123855;334.33525316468985;6088.3495994385385;0.0
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY7835;04/02/2023;04/02/2023 17:52;EGKK;LEBL;1109.0539170109523;1143.1776964952774;13948.0018314046;0.0
A320;CFM56-5B4/3;PAX;EC-LLM;180.0;0.0;VY1290;17/05/2023;17/05/2023 18:30;LEBL;LECO;887.6765029262199;952.2271463622536;12169.605050032744;0.0
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY3510;18/12/2023;18/12/2023 15:44;LEBL;LEIB;276.1540864735084;328.5446907954833;7015.024290056368;0.0
A320;V2527-A5;PAX;EC-MDZ;180.0;0.0;Unknown;28/06/2023;28/06/2023 17:45;LEBL;EGKK;1109.0539170109523;1276.0969397084998;15191.15297954803;11157.214455494772
A319;CFM56-5B6/P;PAX;EC-MGF;144.0;0.0;VY1498;28/09/2023;28/09/2023 10:59;LIRQ;LEMD;1270.9016140085378;1365.4925422153408;14876.664505604334;-9261.486882698311
A320;CFM56-5B4/P;PAX;EC-JZI;180.0;0.0;Unknown;02/12/2023;02/12/2023 11:54;LIRF;LEBL;847.9678302098054;891.7894351985399;11617.093428635664;0.0
A21N;PW1133G-JM;PAX;EC-NYF;230.0;0.0;VY8016;29/12/2023;29/12/2023 19:22;LEBL;LFPO;826.0961118302938;994.3983822806564;11558.026102636795;306371.9287755183
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY3004;26/08/2023;26/08/2023 04:33;LEBL;GCLP;2174.4948701069866;2311.327041205585;29648.015913383457;0.0
A320;CFM56-5B4/3;PAX;EC-KLB;180.0;0.0;VY3938;31/10/2023;31/10/2023 20:01;LEAL;LEPA;318.2296639123855;387.1836823630148;6706.392615002478;0.0
A20N;PW1127G-JM;PAX;EC-NAJ;186.0;0.0;Unknown;26/04/2023;26/04/2023 19:21;LFPG;LEAL;1218.8310755986367;1285.82628049311;12176.90256340348;150292.90424155624
A321;CFM56-5B3/3;PAX;EC-NLV;220.0;0.0;VY1673;08/11/2023;08/11/2023 06:15;LEBL;LEST;883.2522704545042;931.7890525443424;13815.74828183226;0.0
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY6403;10/08/2023;10/08/2023 15:05;LIPZ;LEBL;951.7499664555206;1143.9816186294397;16214.776683839093;0.0
A20N;PW1127G-JM;PAX;EC-NFH;186.0;0.0;VY6247;31/12/2023;31/12/2023 08:34;LSZH;LEBL;855.9042394968873;889.9375573285555;9368.549095527023;-27646.40637758406
A20N;PW1127G-JM;PAX;EC-NBA;186.0;0.0;VY961;28/08/2023;28/08/2023 03:50;LEBL;GCRR;1974.1262423414275;2102.088060430029;18269.3146967393;0.3622208449462453
A320;CFM56-5B6/P;PAX;EC-KCU;180.0;0.0;VY6243;04/09/2023;04/09/2023 19:26;LEBL;LEMH;241.0492606878899;289.3689000454994;5536.525478399307;0.0
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;Unknown;11/06/2023;11/06/2023 19:03;LEBL;GCLP;2174.4948701069866;2278.7103965293336;29248.062315051;0.0
A320;V2527-A5;PAX;EC-MKM;186.0;0.0;VY6626;18/10/2023;18/10/2023 10:58;EGKK;LEAS;950.626883020877;1033.7115474791574;12929.308529453732;11936.77694617064
A320;V2527-A5;PAX;EC-MNZ;186.0;0.0;VY8828;12/05/2023;12/05/2023 14:50;LEZL;LFPG;1457.4451313122115;1561.0657897526874;17850.115157521483;0.0
A320;CFM56-5B4/3;PAX;EC-MBF;180.0;0.0;VY7844;12/06/2023;12/06/2023 21:08;LEBL;LLBG;3081.6813341765805;3115.7811925279057;33078.62883950079;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY3103;27/04/2023;27/04/2023 06:27;GCXO;LEVC;1901.648638128489;2022.488535843384;22249.487214420235;-42054.57690350912
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY8748;16/09/2023;16/09/2023 05:27;LEBL;EGTF;1135.6209001098352;;11781.359821449048;
A320;V2527-A5;PAX;EC-MKM;186.0;0.0;VY1673;03/12/2023;03/12/2023 06:33;LEBL;LEST;883.2522704545041;939.3232562147218;12048.743132852132;0.0
A320;V2527-A5;PAX;EC-MYC;186.0;0.0;VY3718;02/08/2023;02/08/2023 19:24;LEBL;LEMH;241.0492606878899;272.4748204015692;5337.868794825183;0.0
A321;V2533-A5;PAX;EC-MMH;220.0;0.0;VY3209;24/03/2023;24/03/2023 19:53;GCXO;LEBL;2194.5028527808254;2384.975276948493;30536.801687455587;121101.55804263726
A320;V2527-A5;PAX;EC-MJC;186.0;0.0;VY1423;30/08/2023;30/08/2023 05:24;LEBB;LEBL;466.810876844104;554.1949559827264;8457.41759377111;0.0
A20N;PW1127G-JM;PAX;EC-NIX;186.0;0.0;VY3153;05/07/2023;05/07/2023 14:14;LEPA;LEJR;829.8570437176472;869.9796993003879;9223.5167568104;0.0
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY6334;05/10/2023;05/10/2023 13:46;LEBL;LIMC;720.7942696840571;850.9218494693913;12897.859154107906;0.0
A320;CFM56-5B6/P;PAX;EC-KJD;180.0;0.0;VY2215;13/12/2023;13/12/2023 13:34;LEZL;LEBL;809.2782447899061;953.1763355929291;12186.871038201403;0.0
A20N;PW1127G-JM;PAX;EC-NAY;186.0;0.0;VY3981;07/04/2023;07/04/2023 20:25;LEST;LEPA;1003.2489654171123;1108.4059985299566;10911.1657891493;0.027652898861998
A320;CFM56-5B4/P;PAX;EC-JYX;180.0;0.0;VY3803;10/07/2023;10/07/2023 11:04;LEMH;LEBB;705.1601376298081;830.6890464357436;11047.315819069923;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY6617;09/02/2023;09/02/2023 19:46;EGKK;LEMG;1645.2059978045324;1720.894819802146;19334.990140026137;0.0
A320;V2527-A5;PAX;EC-MGE;186.0;0.0;VY1629;31/03/2023;31/03/2023 11:13;LEMG;LEAS;776.9948701403201;845.700734170832;11185.443724419196;-71025.59681050344
A21N;PW1133G-JM;PAX;EC-NYF;230.0;0.0;VY3510;01/08/2023;01/08/2023 11:20;LEBL;LEIB;276.1540864735084;298.5488781626838;5165.002053676133;0.0
A320;V2527-A5;PAX;EC-MFN;180.0;0.0;VY8435;23/06/2023;23/06/2023 13:05;EHAM;LPPT;1846.297159921293;1959.046743915168;21625.434985178304;-189.42569721909453
A20N;PW1127G-JM;PAX;EC-NAJ;186.0;0.0;VY3518;03/09/2023;03/09/2023 19:00;LEBL;LEIB;276.1540864735084;357.0530356883102;5142.963919722089;0.0
A320;CFM56-5B4/3;PAX;EC-MUM;180.0;0.0;VY1291;23/02/2023;23/02/2023 20:53;LECO;LEBL;887.6765029262199;957.353915202134;12221.40301453872;0.0
A20N;PW1127G-JM;PAX;EC-NCU;186.0;0.0;VY6107;12/03/2023;12/03/2023 20:39;LIRF;LEBL;847.9678302098054;915.3290769003062;9539.950950373945;749.1428474358222
A320;V2527-A5;PAX;EC-MER;180.0;0.0;VY6367;06/10/2023;06/10/2023 11:27;LEST;LEZL;645.6782805549823;820.8448809719214;10943.719890057971;0.0
A321;V2533-A5;PAX;EC-MMH;220.0;0.0;Unknown;28/11/2023;28/11/2023 06:32;LFPO;LIRF;1088.6659905506278;1271.4565645860434;17654.19372504319;0.0
A320;CFM56-5B4/3;PAX;EC-MBD;180.0;0.0;VY6104;01/11/2023;01/11/2023 15:41;LEBL;LIRF;847.9678302098054;967.8833061599508;12324.998943550674;1.7788580225274957
A321;CFM56-5B3/3;PAX;EC-NLY;220.0;0.0;VY1570;15/09/2023;15/09/2023 05:38;LEBL;LEAS;711.5818927865374;738.1490536795179;11646.192161756517;-26671.49395653708
A20N;PW1127G-JM;PAX;EC-NDC;186.0;0.0;VY1703;15/05/2023;15/05/2023 06:47;LEVX;LEBL;893.3415342249336;979.9917301619894;10001.417482654111;-3.003564218478886
A20N;PW1127G-JM;PAX;EC-NCT;186.0;0.0;VY1573;16/04/2023;16/04/2023 20:17;LEAS;LEBL;711.5818927865374;809.5802531921059;8788.419740660527;0.0
A320;V2527-A5;PAX;EC-MFK;180.0;0.0;VY6522;24/11/2023;24/11/2023 18:49;LEBL;LIPE;831.3202252007094;899.2652587633072;11686.1573813103;0.0
A320;V2527-A5;PAX;EC-MXG;186.0;0.0;VY3280;28/05/2023;28/05/2023 05:00;LEBB;GCRR;1859.3652327771777;1939.6571324370336;21423.53573454121;-203.5232376465967
A21N;PW1133G-JM;PAX;EC-NYD;230.0;0.0;VY6334;26/11/2023;26/11/2023 14:12;LEBL;LIMC;720.7942696840571;820.2742625866692;10133.18054553932;24047.014004712364
A321;V2533-A5;PAX;EC-MHA;220.0;0.0;VY8955;07/04/2023;07/04/2023 08:02;LEMH;LFPO;996.0002508852702;1060.214640663246;15255.16532303636;-6035.777769176375
A320;V2527-A5;PAX;EC-MKM;186.0;0.0;Unknown;20/03/2023;20/03/2023 14:05;LEBL;EGKK;1109.0539170109523;1266.741171012373;15104.823038704735;364673.2992696901
A320;CFM56-5B4/3;PAX;EC-LVP;180.0;0.0;VY3938;18/02/2023;18/02/2023 16:38;LEAL;LEPA;318.2296639123855;382.616125511942;6662.246685319341;0.0
A320;CFM56-5B4/3;PAX;EC-MAH;180.0;0.0;Unknown;23/08/2023;23/08/2023 18:42;LEIB;LEBL;276.1540864735084;341.2354925982463;6154.568493963247;0.0
A321;V2533-A5;PAX;EC-MPV;220.0;0.0;VY1519;01/10/2023;01/10/2023 13:13;LFMN;LEBL;496.29649900010094;602.1859527771377;10102.469537856468;0.0
A320;CFM56-5B4/3;PAX;EC-LOC;180.0;0.0;VY1823;01/05/2023;01/05/2023 18:50;EDDH;LEBL;1492.5636767058477;1639.74626586245;18575.28666060515;0.0
A320;V2527-A5;PAX;EC-MKO;186.0;0.0;VY2473;12/08/2023;12/08/2023 07:08;GCRR;LEBL;1974.1262423414275;2044.3870516922784;22469.740942387973;0.0
A321;V2533-A5;PAX;EC-MGY;220.0;0.0;VY1503;24/04/2023;24/04/2023 12:21;LKPR;LFPO;872.0610278634795;899.41182652203;13461.10930066603;-669.5749163475452
A320;CFM56-5B4/3;PAX;EC-LVO;180.0;0.0;VY8304;04/08/2023;04/08/2023 16:28;LEBL;EHAM;1241.1362442046452;1386.5854886691504;16227.112269667556;-4.125843060523261
A321;V2533-A5;PAX;EC-MOO;220.0;0.0;VY8006;21/05/2023;21/05/2023 08:31;LEBL;LFPO;826.0961118302938;901.9228134709612;13481.97041720522;74558.27699099845
A320;V2527-A5;PAX;EC-MJB;186.0;0.0;VY8755;09/04/2023;09/04/2023 13:22;EGBB;LEBL;1273.7478879127486;1301.4119321933022;15432.876813909252;-41797.43481368735
A320;V2527-A5;PAX;EC-MFK;180.0;0.0;Unknown;24/10/2023;24/10/2023 06:52;LEIB;LEBL;276.1540864735084;415.8796235060759;7059.560052467587;0.0
A320;V2527-A5;PAX;EC-MEA;180.0;0.0;VY1677;08/05/2023;08/05/2023 12:23;LEST;LEBL;883.2522704545041;936.2447998452816;12031.477144683477;0.0
A320;CFM56-5B4/3;PAX;EC-MAO;180.0;0.0;VY3715;08/11/2023;08/11/2023 09:43;LEMH;LEBL;241.0492606878899;316.39804873388647;5867.619951022845;0.0
A321;V2533-A5;PAX;EC-MQL;220.0;0.0;VY2013;28/09/2023;28/09/2023 11:07;LEGR;LEBL;680.1368145509944;794.5984568037079;12272.02565793221;0.0
